commit_hash,author_date_unix_timestamp,author_date,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug
59b662ff9b1c81407deeafb5bea4d17d4cf26a3f,1498716002,Thu Jun 29 16:00:02 2017 +1000,false,1,2,2,0.631263018091612,30,2,298.5,43,113.078287037037,12,7471.5,1.00663257305759,64,true
c9bbc0284459eb96713f8fcd17d384962c07505a,1498712273,Thu Jun 29 14:57:53 2017 +1000,true,2,4,4,1.67345141977782,31,1,2092,45,15.5615538194444,422,7468.5,18.375926286549,1355,true
976811b195b0a0b6047c21ae32b4482bd1e1210e,1498711029,Thu Jun 29 14:37:09 2017 +1000,false,2,2,2,0.890491640219491,22,4,598.5,45,24.5578414351852,52,7465.5,59.0746961768455,1353,false
9e10592110d1a097c8c2edc87297361bfa7751d3,1498710285,Thu Jun 29 14:24:45 2017 +1000,true,2,2,2,0.985228136034252,21,9,661,45,26.9535648148148,53,7463.5,1.17005888249302,1352,false
d0c3707cbe5eb782f3f2651903f7ae22a16797fc,1498697119,Wed Jun 28 19:45:19 2017 -0500,true,3,10,13,3.18087531290966,44,43,320.769230769231,44,83.2158199786325,135,8774,2.07463573088718,3349,true
d33892b1905c636cd62d3b531f65cf2b20b8cf56,1498690912,Wed Jun 28 18:01:52 2017 -0500,true,2,5,9,1.97660174612372,124,137,751.444444444444,44,76.8967592592593,72,8763,1.00444622225279,363,true
3871f2568a52c03ecbe7d4d161d029226576bee8,1498654549,Wed Jun 28 05:55:49 2017 -0700,true,1,1,2,0.846207199895705,58,35,456.5,43,25.7858969907407,35,1.5,1.01982080992183,1,false
126e4ed05ee06da938027753fc30d54c41481009,1498645826,Wed Jun 28 20:30:26 2017 +1000,true,1,1,2,1,8,0,94.5,43,112.266064814815,4,7461.5,1.00668055837921,1351,true
4a9e82fbcd1bf08a2539e90ac03a9a1859c4fa36,1498644204,Wed Jun 28 20:03:24 2017 +1000,false,1,1,1,0,24,3,177,45,6.0028125,3,7460,1.1665885782706,2515,false
1a7c3b2875407cbd57e0b7842b2b51a9eba0733a,1498634626,Wed Jun 28 17:23:46 2017 +1000,false,2,2,3,0.744194213826323,24,3,606.666666666667,45,37.8433333333333,83,7458,1.59106520993643,1138,true
472743b808b441b75aa6035923dacd7c2db5c756,1498633086,Wed Jun 28 16:58:06 2017 +1000,false,2,2,2,0.863120568566631,3,1,1659.5,45,1.55275462962963,164,7455.5,1.3938606697235,1349,false
33ea9bd5c20b6da7db4888d4c7ce04e171b9814e,1498596759,Tue Jun 27 23:52:39 2017 +0300,false,2,3,3,0.480433457452962,50,2,666.666666666667,44,18.9710146604938,87,3,1.24732797906411,2,true
bf692baff769da97a5542b9db763169dacb570b4,1498574246,Tue Jun 27 17:37:26 2017 +0300,false,1,1,1,0,0,2,63,45,15.0678703703704,3,3084,1.06636637928386,1259,false
9ab4e3f8c481ff6e475252b3505beb142fcbfda5,1498565239,Tue Jun 27 08:07:19 2017 -0400,true,2,3,4,0.910513680249375,0,0,305,45,52.3752835648148,615,1442.5,1.00549551319491,17,false
e6f42aed306beab3b7f793cb1646b0fb36c3bf88,1498552089,Tue Jun 27 11:28:09 2017 +0300,false,2,2,2,1,1,1,577.5,45,6.56658564814815,472,0.5,0.538071535710572,0,false
ab49ac263c2e7fdd81d41c82697b1d28533edbb2,1498551494,Tue Jun 27 11:18:14 2017 +0300,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
bddaabcccee7d8a528edbebb6e9d172f7a95e477,1498550292,Tue Jun 27 10:58:12 2017 +0300,false,2,3,3,1.06343220420754,24,13,1337.33333333333,45,1.68926697530864,193,3082,1.65514890631631,1258,false
90dc91d8088800479cf6b982dd3ab17f9025a71c,1498545541,Tue Jun 27 15:39:01 2017 +0900,true,1,1,1,0,8,8,411,44,0.476284722222222,16,8758,3.09958445724284,2271,true
b15ef7622c4c65e5c13fa5c6fdb0d075b5dcdfa5,1498528258,Tue Jun 27 11:50:58 2017 +1000,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1147465b54974682febf2b422e81c3821b5fd333,1498528183,Tue Jun 27 11:49:43 2017 +1000,false,2,2,2,0.76420450650862,15,3,1245,44,22.3038136574074,81,7453.5,1.02353811220785,1348,false
c4781f0650cfd7129f7e30302d4cac6ea499da10,1498505613,Mon Jun 26 22:33:33 2017 +0300,false,2,3,4,1.84960175271458,8,8,481.25,45,0.131458333333333,98,3078.5,4.96196513470681,1257,true
f9cca3244ba9be16cb2cc024c85377647eb6884e,1498504390,Tue Jun 27 04:13:10 2017 +0900,true,1,1,1,0,5,5,410,44,2.8233912037037,15,8757,1.35418400350905,2270,true
68742c0f44e4bc93818bd81015d8e61e7a1b039a,1498494255,Mon Jun 26 19:24:15 2017 +0300,false,2,7,8,2.37229573799032,47,23,512.25,45,4.3774291087963,272,3072.5,1.07729726160124,1254,true
8f92c29e42b0daee9a90136500cf95a37f0e1bef,1498466435,Mon Jun 26 18:40:35 2017 +1000,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
7111a04c854eb06b156f699060443507e36251ec,1498466307,Mon Jun 26 18:38:27 2017 +1000,false,1,1,1,0,31,0,0,1,0,0,7452,0,2510,false
3d9ab024ab5c5c9cea95cc9e7982ec731387f94f,1498465165,Mon Jun 26 18:19:25 2017 +1000,false,1,1,1,0,35,9,499,43,110.175081018519,18,7451,1.00907646257897,2509,false
c88354ae67ed7b78fdbc1907ef8c722059b7ca43,1498448988,Mon Jun 26 13:49:48 2017 +1000,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
cdb14b549a46355f0e242d8099b437c935256c79,1498448814,Mon Jun 26 13:46:54 2017 +1000,false,1,2,2,0.992774453987808,7,1,790,44,6.01006365740741,26,7449.5,10.9407719659239,2508,true
169cfb892c02d8269bab8b7dae3b1e372f6b3d4c,1498447688,Mon Jun 26 13:28:08 2017 +1000,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
d3f8e74807ad96b8bda3518cfc010d4463b8006c,1498447564,Mon Jun 26 13:26:04 2017 +1000,false,1,1,1,0,1,1,321,44,47.9530671296296,33,7448,1.02085372343956,2506,false
033fe91beeb5d32b26760d800f1dc190ab852799,1498444450,Mon Jun 26 12:34:10 2017 +1000,false,1,3,5,2.28556888341018,31,12,376,44,56.2987569444444,99,7445,1.20566459808951,2505,true
c981fc83ce1cc46e743b17824d8295504c138f8f,1498441601,Mon Jun 26 11:46:41 2017 +1000,true,2,3,3,0.93730124130749,11,2,659.666666666667,45,55.0670138888889,80,7441,1.0106611785408,1347,false
b35700586ceb0e91e8be5edc75e314caab68685c,1498440913,Mon Jun 26 11:35:13 2017 +1000,false,1,1,1,0,66,48,821,44,1.8828587962963,17,7439,1.53110727260433,2498,true
85d494b4533a34e1fc5f9f7158a7b012b7f88a07,1498295754,Sat Jun 24 12:15:54 2017 +0300,false,1,1,3,1.53061899484852,0,6,298.333333333333,45,3.14515046296296,52,3067,1.1766396600918,523,false
3512c77c2f48ed0933f19f4fb302fde164cda320,1498293725,Sat Jun 24 11:42:05 2017 +0300,false,1,1,1,0,83,60,507,45,1.95534722222222,32,3065,1.51141811982811,520,false
7d51de5783657e51b3ff7619a5e8f7d0f387ca39,1498288903,Sat Jun 24 10:21:43 2017 +0300,false,1,3,5,2.25376684483335,114,1,29.2,45,2.35305787037037,4,3062,1.08499578464193,1248,false
ea923de0d94f221bb96cf1e5e91ddc26c823194d,1498278234,Sat Jun 24 14:23:54 2017 +1000,false,1,1,2,0.672294817075638,7,0,644,44,0.0335416666666667,34,7437.5,23.360248447205,2497,true
63e79c453e128f8b01a81f4aeda9ce5a483998fd,1498275336,Sat Jun 24 13:35:36 2017 +1000,false,1,2,4,0.64865017969331,151,329,799.75,44,0.469027777777778,120,7434.5,5.65935360416201,2495,true
2deb6b50f20b2bf4b5d4dfed5aad80b4b943bb1b,1498269998,Sat Jun 24 12:06:38 2017 +1000,false,1,2,2,0.768691302703017,41,13,768,44,0.60775462962963,86,7431.5,2.23405065701771,2491,true
edce3384d143e8483cadbc32f59f704448e4c349,1498260449,Sat Jun 24 08:27:29 2017 +0900,true,1,1,1,0,33,12,385,44,57.773900462963,14,8756,1.01730885385938,2269,true
b4e7f65387ca9b3f4391d4d819e9893bedc191ad,1498229565,Fri Jun 23 17:52:45 2017 +0300,false,1,1,1,0,1,1,420,45,10.1122453703704,22,3059,1.098890005471,1243,true
c9de94d1ddd9d408f125d875c7d2c9d632770729,1498224508,Fri Jun 23 16:28:28 2017 +0300,false,1,3,3,1.08360345242286,35,2,2052.66666666667,45,1.33388117283951,246,3057,0.916563988947443,519,true
ba0caf1f39c7ea19482ca8af77539935bf720ad5,1498220684,Fri Jun 23 15:24:44 2017 +0300,false,1,3,3,0.897232748140695,31,29,550,45,0.0420949074074074,81,3054,16.0497650271157,1242,true
